zpid,streetAddress,city,latitude,longitude,bedrooms,bathrooms,price,yearBuilt,homeStatus,homeType,livingArea,lotSize,daysOnZillow,zestimate,rentZestimate,lastSoldPrice,dateSold,taxAssessedValue,hoaFee,propertyTaxRate
50040934,424 Hickory Dr,Chapel Hill,35.926163,-79.024155,3.0,1.0,378200,1956.0,OTHER,SINGLE_FAMILY,1150.0,11761.0,3284.0,378200.0,1588.0,190000.0,2016-03-28,216600.0,0.0,0.84
50039184,105 Mill Run Dr,Chapel Hill,35.922432,-79.04995,4.0,3.5,1102200,2000.0,OTHER,SINGLE_FAMILY,3068.0,10187.0,7054.0,1102200.0,4942.0,624000.0,2005-12-01,609300.0,0.0,0.84
50051482,204 Sierra Dr,Chapel Hill,35.95839,-79.03029,6.0,4.0,1077700,1990.0,OTHER,SINGLE_FAMILY,3907.0,24829.0,2701.0,1077700.0,4846.0,687500.0,2017-11-01,643100.0,15.0,0.84
50038525,338 Wesley Dr,Chapel Hill,35.923004,-79.06329,4.0,3.0,682400,1965.0,OTHER,SINGLE_FAMILY,2423.0,21344.0,2170.0,682400.0,3191.0,389900.0,2019-04-16,391300.0,0.0,0.84
50031501,108 Nuttree Ln,Chapel Hill,35.891712,-79.07537,4.0,3.0,855400,1998.0,OTHER,SINGLE_FAMILY,3767.0,12196.0,2601.0,855400.0,3941.0,490000.0,2018-02-09,496300.0,0.0,0.84
67912812,111 Bay View Dr,Chapel Hill,35.949898,-79.10296,3.0,2.5,1225800,2005.0,OTHER,SINGLE_FAMILY,3775.0,19602.0,9482.0,1225800.0,3064.0,61000.0,1999-04-09,687800.0,0.0,0.84
50041241,210 Kirkwood Dr,Chapel Hill,35.947716,-79.02237,3.0,2.0,434100,1988.0,OTHER,TOWNHOUSE,1445.0,3049.0,1789.0,434100.0,2102.0,292000.0,2020-05-01,284300.0,264.0,0.84
88946738,411 Brandywine Rd,Chapel Hill,35.866432,-79.09064,4.0,3.0,602500,1969.0,OTHER,SINGLE_FAMILY,2612.0,18295.0,2366.0,602500.0,3322.0,298000.0,2018-10-02,337100.0,0.0,0.84
117621266,200 Montclair Way,Chapel Hill,35.89379,-79.070984,6.0,5.0,1927900,2012.0,OTHER,SINGLE_FAMILY,6399.0,32234.0,3142.0,1927900.0,6281.0,1160000.0,2016-08-17,1222700.0,0.0,0.84
50036710,230 N Graham St,Chapel Hill,35.913464,-79.06501,3.0,2.0,473300,1952.0,OTHER,SINGLE_FAMILY,991.0,6969.0,1601.0,473300.0,1874.0,260000.0,2020-11-05,305000.0,0.0,0.84
50035261,109 Hanover Pl,Chapel Hill,35.929817,-79.0724,3.0,2.5,683600,1991.0,OTHER,SINGLE_FAMILY,2260.0,11761.0,12291.0,683600.0,2887.0,198000.0,1991-07-31,389200.0,0.0,0.84
50040690,207 Wood Cir,Chapel Hill,35.93495,-79.032684,2.0,2.0,872100,1963.0,OTHER,SINGLE_FAMILY,2529.0,31363.0,4729.0,872100.0,2374.0,385000.0,2012-04-13,543000.0,0.0,0.84
50031294,1519 Smith Level Rd,Chapel Hill,35.868313,-79.07946,3.0,2.0,300000,1957.0,SOLD,SINGLE_FAMILY,1047.0,74052.0,1049.0,386500.0,1865.0,300000.0,2022-05-11,194700.0,0.0,0.84
50041309,1110 Willow Dr,Chapel Hill,35.928474,-79.01974,4.0,3.0,639100,1965.0,OTHER,SINGLE_FAMILY,2216.0,26136.0,2771.0,639100.0,3868.0,380000.0,2017-08-23,355700.0,0.0,0.84
50049771,12 Wedgewood Rd,Chapel Hill,35.97295,-79.05178,4.0,4.0,896900,1986.0,OTHER,SINGLE_FAMILY,3589.0,43560.0,2374.0,896900.0,4741.0,460000.0,2018-09-24,555100.0,275.0,0.84
50051670,205 Telluride Trl,Chapel Hill,35.960304,-79.02546,4.0,4.0,1506600,1999.0,OTHER,SINGLE_FAMILY,5414.0,29141.0,2490.0,1506600.0,6122.0,980000.0,2018-05-31,953100.0,0.0,0.84
50038054,611 E Rosemary St,Chapel Hill,35.9185,-79.04565,4.0,4.0,2977700,1914.0,OTHER,SINGLE_FAMILY,5137.0,16988.0,2451.0,2977700.0,6077.0,1840000.0,2018-07-09,1719600.0,0.0,0.84
80201941,418 Cedar Club Cir #108,Chapel Hill,35.90737,-79.006294,2.0,2.0,696100,2003.0,OTHER,CONDO,2119.0,,4604.0,696100.0,2974.0,600000.0,2012-08-16,474960.0,0.0,0.72
50039312,235 Huntington Dr,Chapel Hill,35.94149,-79.04832,6.0,6.0,1346000,1986.0,OTHER,SINGLE_FAMILY,4941.0,39204.0,3641.0,1346000.0,5478.0,710000.0,2015-04-06,734900.0,0.0,0.84
50039443,1511 Cumberland Rd,Chapel Hill,35.933815,-79.04601,5.0,4.0,853000,1965.0,SOLD,SINGLE_FAMILY,2580.0,22651.0,1044.0,966600.0,3721.0,853000.0,2022-05-16,487800.0,0.0,0.84
60072584,101 Oak Tree Dr,Chapel Hill,35.908165,-79.01963,2.0,2.5,279900,1974.0,OTHER,CONDO,1236.0,43560.0,7616.0,279900.0,1781.0,132500.0,2004-05-18,155000.0,310.0,0.84
60076572,302 Palafox Dr,Chapel Hill,35.962093,-79.06425,5.0,3.0,665000,2000.0,SOLD,SINGLE_FAMILY,2682.0,10454.0,970.0,735800.0,3472.0,665000.0,2022-07-29,414900.0,75.0,0.84
50051688,302 Telluride Trl,Chapel Hill,35.962868,-79.02573,5.0,5.0,1450900,2000.0,OTHER,SINGLE_FAMILY,4451.0,20473.0,3589.0,1450900.0,5313.0,850000.0,2015-05-28,898600.0,500.0,0.84
50041122,110 Berry Patch Ln,Chapel Hill,35.944057,-79.02147,3.0,2.0,352700,,OTHER,SINGLE_FAMILY,,,3967.0,352700.0,2749.0,150500.0,2014-05-15,194100.0,0.0,0.84
50050526,101 Forest Ridge Dr,Chapel Hill,35.978325,-79.04868,4.0,2.5,912400,1983.0,OTHER,SINGLE_FAMILY,3194.0,91476.0,10099.0,912400.0,3959.0,339000.0,1997-07-31,621800.0,0.0,0.84
50042326,100 Colchester Ct,Chapel Hill,35.940273,-79.00728,3.0,3.0,416100,1990.0,OTHER,SINGLE_FAMILY,1418.0,5227.0,3666.0,416100.0,2099.0,170000.0,2015-03-12,230100.0,60.0,0.84
50047560,1603 Claymore Rd,Chapel Hill,35.951336,-79.08547,5.0,2.5,724500,1988.0,OTHER,SINGLE_FAMILY,2609.0,20473.0,10128.0,724500.0,3100.0,311000.0,1997-07-02,457100.0,0.0,0.84
249993687,172 Manordale Dr,Chapel Hill,35.911453,-78.993286,2.0,2.5,389600,2019.0,OTHER,TOWNHOUSE,1541.0,1306.0,2049.0,389600.0,2274.0,265000.0,2019-08-15,240999.0,0.0,0.72
50049614,106 Adrians Pl,Chapel Hill,35.95837,-79.05479,4.0,2.5,746400,1999.0,OTHER,SINGLE_FAMILY,2637.0,8712.0,6011.0,746400.0,3194.0,396000.0,2008-10-09,481900.0,0.0,0.84
49996171,110 Charlesberry Ln,Chapel Hill,35.935116,-78.998955,4.0,2.0,519400,1987.0,OTHER,SINGLE_FAMILY,2030.0,12196.0,6462.0,519400.0,2360.0,177000.0,2007-07-16,259819.0,0.0,0.72
